,time,ppg,ppg2,acc_x,acc_y,acc_z,hr_quality,reference_hr,estimated_hr,sampled_estimated_hr,hr_online
31,1.24,312019.0159758287,1564.446158638042,791.1523170728327,-23.717439024277578,-590.5871951213879,1.0,87.3220864,,,92.0
32,1.28,306239.64738618204,-1400.046443684123,780.8932522799831,-35.1067477200169,-577.1910030399774,1.0,87.31838464,,,92.0
33,1.32,301889.76843881747,-4047.2146229219634,783.6946230006417,-28.61075399871646,-598.1677380038507,1.0,87.31447296,,,92.0
34,1.36,296832.87201235356,-7339.706158433064,787.6904878047545,-24.30951219524552,-600.0,1.0,87.31034880000003,,,92.0
35,1.4000000000000001,289548.3379941586,-14233.060790044648,773.2984802436683,-24.0,-574.2723404264196,1.0,87.30600960000002,,,92.0
36,1.44,283075.36000020907,-21896.729230516936,794.0061538453695,-9.329230769753728,-594.0061538453695,1.0,87.30145280000002,,,92.0
37,1.48,278608.4458233152,-27481.942621769747,785.0093902443059,-15.32707317046276,-596.0,1.0,87.29667584000002,,,92.0
38,1.52,275425.19699327275,-31053.107972547514,784.0,-16.0,-588.708519362462,1.0,87.29167616000002,,,92.0
39,1.56,272931.08432605746,-33434.044782858924,780.3622848440107,-34.18857577994682,-580.7245696880212,1.0,87.28645120000003,,,92.0
40,1.6,270540.9421816276,-35806.42151021084,790.9089244846894,-28.727383676873735,-601.8178489693788,1.0,87.28099840000003,,,92.0
41,1.6400000000000001,267795.299620453,-38718.169384855275,784.7622171605095,-13.524434321018992,-589.524434321019,1.0,87.27531520000002,,,92.0
42,1.68,265299.3405941536,-41780.4986442086,769.5568621483634,-22.832353388727483,-566.335293222545,1.0,87.26939904000002,,,92.0
43,1.72,263475.7227377112,-44543.07565008338,782.3934296571709,-27.598357414292746,-574.7950722428783,1.0,87.26324736000002,,,92.0
44,1.76,262122.11539990004,-46520.936755445924,784.0,-6.455201828833854,-590.3631987807775,1.0,87.25685760000002,,,92.0
45,1.8,261167.29748670917,-48070.592688437806,784.0,-14.751561309486878,-584.832292460342,1.0,87.25022720000001,,,92.0
46,1.84,260065.86672759647,-49132.268980170855,787.574185692375,-23.148371384749854,-584.0,1.0,87.24335360000002,,,92.0
